File_Index,File_Name,Error_Type,Error_Description,Line_Number,Suggested_Action
1,ABCABP030.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
2,ACPD210_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
8,ACTDSELW_D.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
10,ACTRETUP.txt,INFO,No relationships found - RPG program with no calls or F-specs - may use only data structures,N/A,File processed successfully but contains no program calls or DDS references
20,ADRIANNA.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
21,ALTPAYEE.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
22,AMBLVWGT.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
24,ANACOMP01.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
25,APHIST.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
26,APHISTORY.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
27,APHISTORY1.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
28,APHISTORYA.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
29,APPAY.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
30,APSUMPCH.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
31,APSUMPRCH.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
32,APSUMPURCH.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
33,APTAPE.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
34,APTRAN.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
49,AR605CLPSV.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
69,ARAGEING.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
70,ARBDJOP.txt,INFO,No relationships found - RPG program with no calls or F-specs - may use only data structures,N/A,File processed successfully but contains no program calls or DDS references
71,ARBEJOP.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
73,ARCUST.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
74,ARCWIMDTA.txt,INFO,No relationships found - RPG program with no calls or F-specs - may use only data structures,N/A,File processed successfully but contains no program calls or DDS references
80,ARJOPVR_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
81,ARJTPVR_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
84,ARJVPFR_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
86,ARJWUPR.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
89,ARQAQFC.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
90,ARQJQFC.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
91,ARSD404_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
92,ARSUMYREND.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
94,ARU4PVR_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
96,ASJUCPP.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
98,ASPURGES.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
99,ATNPGM_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
100,AUDSNDEML.txt,INFO,"No relationships found - Unclassified file type - may be configuration, documentation, or data file",N/A,File processed successfully but contains no program calls or DDS references
101,AVGLVWGT.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
102,AVGLVWGTR.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
103,AVGWGT.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
104,AVGWGTDG.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
105,AVGWGTDGR.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
106,AVGWGTR.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
107,BACKUPPKEJ.txt,INFO,No relationships found - RPG program with no calls or F-specs - may use only data structures,N/A,File processed successfully but contains no program calls or DDS references
108,BALORPHANS.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
109,BANKDEP.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
110,BARB.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
111,BASETIME.txt,INFO,No relationships found - SQL Query file - database query definitions,N/A,File processed successfully but contains no program calls or DDS references
112,BCW.txt,INFO,No relationships found - RPG program with no calls or F-specs - may use only data structures,N/A,File processed successfully but contains no program calls or DDS references
114,BIGCHR_DDS.txt,INFO,"No relationships found - Data Definition Specification (DDS) file - defines files, doesn't reference them",N/A,File processed successfully but contains no program calls or DDS references
